dataset_id,title,url,final_url,http_status,reachable,error,elapsed_ms
inq-0153,HadUK-Grid Mean relative humidity – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0154,HadUK-Grid Mean relative humidity – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0155,HadUK-Grid Mean relative humidity – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0156,HadUK-Grid Mean relative humidity – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0157,HadUK-Grid Mean relative humidity – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0158,HadUK-Grid Mean vapour pressure – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0159,HadUK-Grid Mean vapour pressure – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0160,HadUK-Grid Mean vapour pressure – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0161,HadUK-Grid Mean vapour pressure – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0162,HadUK-Grid Mean vapour pressure – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0163,HadUK-Grid Days of ground frost – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0164,HadUK-Grid Days of ground frost – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0165,HadUK-Grid Days of ground frost – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0166,HadUK-Grid Days of ground frost – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0167,HadUK-Grid Days of ground frost – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0168,HadUK-Grid Days of snow lying – monthly – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0169,HadUK-Grid Days of snow lying – monthly – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0170,HadUK-Grid Days of snow lying – monthly – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0171,HadUK-Grid Days of snow lying – monthly – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0172,HadUK-Grid Days of snow lying – monthly – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0173,HadUK-Grid Maximum air temperature – seasonal – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0174,HadUK-Grid Maximum air temperature – seasonal – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0175,HadUK-Grid Maximum air temperature – seasonal – 12km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0176,HadUK-Grid Maximum air temperature – seasonal – 25km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0177,HadUK-Grid Maximum air temperature – seasonal – 60km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0178,HadUK-Grid Minimum air temperature – seasonal – 1km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
inq-0179,HadUK-Grid Minimum air temperature – seasonal – 5km,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/datasets,200,True,,638
